Name,Hash,Meter,BPM,Total stream,Stream density
Stamina RPG 6/[11] [128] Alcohol-Free,0b020e29c3919c10c1d3fb2776e813b18af30114,11,128.0,52.0,0.6265060240963856
Stamina RPG 6/[11] [136] Cowboy,f2bc769bdf7addfc64d7e46643e194f184820a56,11,136.0,33.0,0.4925373134328358
Stamina RPG 6/[11] [136] Flutterwonder (Hard),fc05556c0b501fabafe79a16923e910518d5d03d,11,136.0,38.0,0.48717948717948717
Stamina RPG 6/[11] [124] Glory Days,c0b5988bae418d86ccac7c7209f605932857bb81,11,124.0,44.0,0.4835164835164835
Stamina RPG 6/[11] [145] Hawaiian Roller Coaster Ride (Medium),d0b51e7437f6705f45bf6d9c1254964330bfcc4e,11,145.0,29.0,0.35802469135802467
Stamina RPG 6/[11] [130] Helix (Hard),cff2af5d6310984334df77ff350216ddf87f9373,11,130.0,36.0,0.6545454545454545
Stamina RPG 6/[11] [131] In The Game (The Football Song),2dfb525a8c6de1ca511944ec05ccf306725559c0,11,131.0,39.0,0.52
Stamina RPG 6/[11] [145] Kislotnyy Dozhd (Medium),7d33178f3884890ee3766e42ac949261e33f2c5c,11,145.0,40.0,0.4166666666666667
Stamina RPG 6/[11] [120] Le Perv,6a470b19828fdd771de49098a17fb73beb7e78ed,11,120.0,32.0,1.0
Stamina RPG 6/[11] [124] Lonely,cc5d918a88d4981a54dbf456f025b781b8a90c5d,11,124.0,42.0,0.5454545454545454
Stamina RPG 6/[11] [145]  Move That Body!,21b79fa03e7bfd239673c7e052f6ba33152bf078,11,145.0,20.0,0.7142857142857143
Stamina RPG 6/[11] [147] This game (Hard),08c79a111721544e3be4d72ce9742d9725b60079,11,147.0,27.0,0.5869565217391305
Stamina RPG 6/[11] [128] We Are Giants (feat. Dia Frampton),4957360be2f789527681d3ddcaf5ca7bc473ff2b,11,128.0,61.0,0.7093023255813954
Stamina RPG 6/[12] [138] Cake By The Ocean,baafb243d346d7ebc01b3dd655eb8d07f25e5dc4,12,138.0,70.0,0.813953488372093
Stamina RPG 6/[12] [174] Gargantua,3d2952e0f5fd58f8a464c421e6187854dffebce1,12,174.0,20.0,0.17857142857142858
Stamina RPG 6/[12] [160] Gimme Your Desire (Hard),37e179dacebf1bfb9d5074fa22ab20ff96790527,12,159.998,53.0,0.5698924731182796
Stamina RPG 6/[12] [140] Higanbana,b502ad588316b2e0ad926fef475211bddf8d102c,12,140.0,84.0,0.6176470588235294
Stamina RPG 6/[12] [156] I Want U,767ccf2b2bcc1fa01fd5db172efafcf3ad3c10e1,12,156.0,48.0,0.7384615384615385
Stamina RPG 6/[12] [135] I'm Coming,50d73eb908c8f1c49e0f4545fa2c2f4733016ae0,12,135.0,50.0,0.6756756756756757
Stamina RPG 6/[12] [166] Killer Song,0723c695475f541e8f34affb6be88f9f37dfafef,12,166.0,37.0,0.42528735632183906
Stamina RPG 6/[12] [178] Koi no Hime Hime Pettanko,fae6c535ed7020e09fb799a499d8bae17f748c15,12,177.962,26.0,0.5098039215686274
Stamina RPG 6/[12] [150] Lifelight (Camellia's Hardstyle Bootleg),be73cef77658cdab05ed35af59bf354cf9caf814,12,150.0,55.0,0.49107142857142855
Stamina RPG 6/[12] [175] Nhelv (Medium),15160e012fc91836eafb9a1b30f1c52f21c3f5f2,12,174.595,31.0,0.3780487804878049
Stamina RPG 6/[12] [150] Plasticine-Cocoes,cb19a8e1f5bb7fb3eccade656c9d85c9c53e91e1,12,150.0,58.0,0.5918367346938775
Stamina RPG 6/[12] [165] Proud Grudge,540c22f3417e72d4fa458018817ffa6fd29d233e,12,165.0,43.0,0.6615384615384615
Stamina RPG 6/[12] [150] Put A Donk On It,5917e5adf542ae3ed2de37d5660e56edf2259e2d,12,150.0,75.0,0.5905511811023622
Stamina RPG 6/[12] [140] Rattle,f4fd449d39cc0181f7d7ded349bec1018f936d99,12,140.01,65.0,0.8552631578947368
Stamina RPG 6/[12] [165] Remote Control,e269abe8adf8319cd84e6726def0668c97e48300,12,165.0,48.0,0.631578947368421
Stamina RPG 6/[12] [132] RTRT,2a26bd904503f235ddd80be2104213906b32eff2,12,132.0,73.0,0.6403508771929824
