Name,Hash,Meter,NPS sequence
Stamina RPG 6/[11] [128] Alcohol-Free,0b020e29c3919c10c1d3fb2776e813b18af30114,11,"[0, 0, 0, 0, 0, 0, 0, 1, 4, 8, 9, 8, 9, 9, 3, 6, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 9, 8, 9, 5, 5, 5, 6, 5, 5, 6, 5, 6, 5, 4, 6, 5, 7, 6, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 9, 3, 6, 6, 5, 6, 6, 6, 7, 6, 8, 8, 9, 8, 9, 9, 8, 6, 5, 5, 5, 6, 5, 5, 6, 5, 6, 5, 4, 6, 6, 7, 6, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 9, 8, 9, 3, 9, 4, 8, 2, 6, 4, 7, 5, 5, 7, 6, 6, 5, 6, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 9, 8, 3]"
Stamina RPG 6/[11] [136] Cowboy,f2bc769bdf7addfc64d7e46643e194f184820a56,11,"[1, 7, 8, 8, 6, 2, 4, 3, 5, 2, 1, 6, 3, 3, 4, 5, 2, 7, 3, 7, 6, 7, 7, 7, 7, 7, 7, 7, 6, 8, 7, 6, 7, 8, 7, 7, 8, 7, 9, 6, 8, 7, 8, 7, 8, 8, 2, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 4, 6, 7, 7, 7, 6, 7, 8, 7, 6, 7, 7, 7, 6, 9, 8, 6, 8, 7, 8, 8, 7, 8, 7, 7, 7, 8, 7, 4, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 7, 4, 8, 7, 6, 7, 5, 7, 6, 6, 7, 7, 6, 7, 6, 6, 6, 7, 4, 7, 8, 8, 6, 2, 2, 3, 7, 9, 9, 9, 9, 9, 4, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 5, 2]"
Stamina RPG 6/[11] [136] Flutterwonder (Hard),fc05556c0b501fabafe79a16923e910518d5d03d,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 2, 3, 3, 2, 4, 3, 2, 2, 2, 4, 2, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 7, 6, 5, 5, 6, 5, 5, 6, 5, 6, 4, 6, 5, 6, 6, 5, 6, 4, 6, 5, 6, 5, 6, 5, 5, 5, 6, 5, 6, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 2, 1, 1, 3, 3, 1, 1, 1, 2, 4, 5, 5, 6, 5, 5, 7, 5, 5, 5, 6, 5, 5, 6, 6, 4, 8, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 2, 3, 3, 2]"
Stamina RPG 6/[11] [124] Glory Days,c0b5988bae418d86ccac7c7209f605932857bb81,11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 4, 4, 4, 4, 4, 2, 5, 8, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 9, 8, 6, 4, 5, 4, 5, 4, 5, 6, 5, 4, 5, 4, 5, 5, 4, 6, 5, 6, 5, 5, 6, 5, 5, 5, 4, 7, 4, 5, 7, 6, 7, 4, 8, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 9, 8, 8, 3, 2, 1, 0, 0, 0, 0, 0, 0, 1, 2, 3, 2, 1, 3, 3, 2, 1, 3, 3, 1, 2, 3, 4, 5, 4, 4, 6, 4, 5, 5, 6, 3, 5, 4, 6, 4, 5, 5, 8, 3, 0, 0, 0, 0, 0, 0, 1, 1, 4, 5, 4, 4, 4, 3, 2, 6, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 9, 4, 2, 8, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 3]"
Stamina RPG 6/[11] [145] Hawaiian Roller Coaster Ride (Medium),d0b51e7437f6705f45bf6d9c1254964330bfcc4e,11,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 8, 5, 4, 6, 3, 5, 7, 5, 4, 1, 3, 5, 3, 6, 4, 6, 6, 8, 6, 5, 10, 6, 3, 4, 4, 6, 6, 8, 6, 7, 9, 5, 3, 6, 4, 6, 6, 5, 6, 6, 9, 7, 7, 8, 6, 9, 7, 5, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 7, 3, 6, 4, 5, 7, 4, 4, 2, 3, 5, 3, 5, 4, 7, 5, 7, 5, 6, 10, 7, 5, 6, 6, 6, 6, 5, 9, 10, 10, 9, 10, 10, 6, 2, 4, 2, 7, 5, 6, 6, 7, 9, 6, 4, 9, 8, 4, 3, 5, 4, 4, 5, 3, 3, 5, 5, 5, 5, 9, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 8, 4, 5, 4, 7, 5, 4, 6, 2, 6, 6, 7, 9, 9, 4, 5, 4, 6, 4, 8, 2, 2, 4, 3, 5, 5, 3]"
Stamina RPG 6/[11] [130] Helix (Hard),cff2af5d6310984334df77ff350216ddf87f9373,11,"[0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 3, 3, 3, 2, 4, 9, 9, 8, 8, 6, 4, 2, 8, 8, 9, 9, 8, 9, 9, 8, 9, 9, 8, 9, 9, 8, 9, 9, 8, 9, 9, 8, 7, 7, 5, 6, 6, 6, 6, 6, 5, 7, 6, 5, 6, 7, 5, 7, 5, 8, 9, 9, 8, 9, 9, 8, 9, 9, 8, 9, 9, 8, 7, 6, 1, 1, 1, 1, 2, 2, 4, 8, 9, 8, 9, 6, 6, 2, 5, 8, 9, 9, 8, 9, 9, 8, 9, 9, 8, 9, 9, 6, 7, 6, 8, 9, 9, 8, 9, 9, 8, 9, 9, 8, 9, 9, 4, 7, 2]"
Stamina RPG 6/[11] [131] In The Game (The Football Song),2dfb525a8c6de1ca511944ec05ccf306725559c0,11,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 8, 6, 8, 5, 7, 1, 1, 7, 6, 7, 6, 7, 4, 6, 5, 7, 7, 7, 7, 5, 4, 6, 7, 8, 8, 8, 5, 2, 4, 8, 9, 9, 9, 8, 9, 9, 9, 8, 9, 9, 9, 8, 9, 6, 7, 4, 6, 6, 5, 5, 5, 8, 4, 4, 6, 6, 1, 1, 5, 6, 7, 6, 8, 4, 4, 6, 7, 5, 7, 6, 6, 4, 4, 9, 6, 8, 8, 7, 2, 2, 9, 9, 8, 9, 9, 9, 8, 9, 9, 8, 9, 9, 9, 8, 9, 9, 9, 8, 9, 9, 9, 8, 9, 9, 8, 9, 9, 9, 8, 6, 8, 6, 7, 6, 6, 1, 1, 5, 2, 3, 4, 3, 3, 3, 6, 6, 4, 5, 8, 4, 5, 5, 8, 8, 7, 8, 5, 2, 4, 9, 9, 9, 8, 9, 9, 9, 8, 9, 9, 8, 9, 9, 9, 8, 9, 9, 9, 8, 9, 9, 9, 8, 9, 9, 8, 9, 1, 2]"
Stamina RPG 6/[11] [145] Kislotnyy Dozhd (Medium),7d33178f3884890ee3766e42ac949261e33f2c5c,11,"[0, 1, 5, 5, 6, 5, 6, 5, 4, 6, 6, 5, 5, 5, 4, 9, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 7, 4, 5, 4, 4, 5, 5, 5, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 4, 3, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 8, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 8, 3, 5, 4, 3, 4, 4, 4, 4, 4, 4, 3, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 4, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 7, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 5, 4, 4, 3, 4, 5, 3, 4, 4, 4, 4, 4, 5, 4, 3, 5, 4, 3, 5, 4, 3, 4, 4, 4, 4, 5, 2]"
Stamina RPG 6/[11] [120] Le Perv,6a470b19828fdd771de49098a17fb73beb7e78ed,11,"[0, 1, 1, 3, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
Stamina RPG 6/[11] [124] Lonely,cc5d918a88d4981a54dbf456f025b781b8a90c5d,11,"[0, 0, 0, 0, 0, 0, 0, 1, 3, 4, 3, 3, 1, 1, 5, 3, 5, 3, 3, 3, 4, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 6, 5, 5, 5, 9, 7, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 2, 4, 5, 3, 4, 3, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 7, 4, 4, 4, 3, 3, 3, 2, 2, 5, 4, 4, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 5, 4, 8, 8, 9, 8, 8, 7, 3, 5, 8, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 6, 3, 7, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 7, 2, 3, 3, 1, 2, 3, 3, 1, 3, 4, 4, 4, 4, 4, 5, 4, 4, 8, 8, 8, 8, 9, 8, 2, 4, 9, 8, 8, 8, 9, 8, 8, 9, 8, 8, 8, 9, 8, 6, 3, 7, 8, 8, 8, 9, 8, 8, 9, 8, 8, 8, 9, 8, 8, 2, 2, 1]"
Stamina RPG 6/[11] [145]  Move That Body!,21b79fa03e7bfd239673c7e052f6ba33152bf078,11,"[0, 0, 0, 0, 1, 2, 5, 2, 7, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 6, 3, 4, 8, 2, 4, 6, 4, 3, 6, 5, 2, 5, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 9, 10, 10, 1]"
Stamina RPG 6/[11] [147] This game (Hard),08c79a111721544e3be4d72ce9742d9725b60079,11,"[2, 4, 5, 6, 4, 6, 4, 10, 10, 10, 10, 8, 3, 3, 5, 5, 5, 5, 7, 8, 10, 9, 10, 10, 10, 10, 7, 6, 5, 5, 5, 3, 4, 10, 10, 10, 9, 10, 10, 6, 4, 3, 3, 4, 3, 4, 4, 3, 4, 5, 5, 3, 4, 5, 10, 10, 9, 10, 10, 10, 10, 9, 10, 10, 10, 7, 5, 7, 10, 10, 10, 9, 10, 10, 10, 10, 9, 10, 10, 10, 10, 9, 7, 5, 3, 1, 3]"
Stamina RPG 6/[11] [128] We Are Giants (feat. Dia Frampton),4957360be2f789527681d3ddcaf5ca7bc473ff2b,11,"[0, 1, 2, 3, 2, 1, 2, 4, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 3, 2, 1, 2, 4, 2, 1, 1, 1, 2, 1, 1, 1, 5, 2, 3, 2, 3, 1, 4, 3, 2, 2, 3, 3, 2, 2, 4, 3, 4, 4, 5, 4, 4, 4, 5, 6, 6, 6, 7, 7, 9, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 9, 8, 3, 6, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 5, 4, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 8, 2, 3, 2, 3, 1, 4, 3, 2, 2, 3, 3, 2, 2, 4, 3, 4, 4, 5, 4, 4, 4, 5, 6, 6, 6, 7, 7, 9, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 9, 8, 5, 5, 6, 5, 6, 4, 6, 7, 9, 8, 9, 8, 9, 9, 8, 0, 0, 0, 0, 0, 0, 1, 4, 9, 8, 9, 8, 9, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 9, 8, 9, 8, 9, 8, 9, 8, 9, 4]"
